RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
175     0.717031     0.639688     0.609626       0.688895   0.725231     0.476803     0.725231     0.766165     0.432775        0.766165        0.688449     0.530803      0.688449    
176     0.716078     0.638726     0.609359       0.688705   0.724092     0.476867     0.724092     0.766216     0.431853        0.766216        0.686359     0.532358      0.686359    
177     0.715418     0.637763     0.609435       0.689891   0.722787     0.477512     0.722787     0.766599     0.431078        0.766599        0.683712     0.535159      0.683712    
178     0.714713     0.638918     0.609412       0.689495   0.724320     0.476854     0.724320     0.766205     0.432036        0.766206        0.686777     0.532047      0.686777    
179     0.714759     0.639207     0.610394       0.690324   0.724237     0.478364     0.724237     0.767061     0.432671        0.767061        0.685941     0.534848      0.685941    
180     0.714778     0.637763     0.609607       0.690281   0.722705     0.477802     0.722705     0.766766     0.431147        0.766766        0.683433     0.535781      0.683433    
181     0.715129     0.637379     0.608985       0.690111   0.722492     0.476957     0.722492     0.766286     0.430576        0.766287        0.683433     0.534536      0.683433    
182     0.715033     0.639207     0.610910       0.690432   0.723993     0.479233     0.723993     0.767562     0.432873        0.767562        0.685105     0.536714      0.685105    
183     0.715958     0.639015     0.610513       0.690015   0.723927     0.478666     0.723927     0.767239     0.432555        0.767239        0.685245     0.535781      0.685245    
184     0.716609     0.638245     0.610299       0.690056   0.723012     0.478713     0.723012     0.767282     0.431824        0.767282        0.683573     0.537026      0.683573    
185     0.716171     0.638245     0.611072       0.690673   0.722644     0.480011     0.722644     0.768036     0.432130        0.768036        0.682319     0.539826      0.682319    
186     0.715987     0.638245     0.611244       0.690910   0.722563     0.480299     0.722563     0.768205     0.432197        0.768205        0.682040     0.540448      0.682040    
187     0.713218     0.639399     0.612080       0.690984   0.723693     0.481097     0.723693     0.768640     0.433491        0.768640        0.683712     0.540448      0.683712    
188     0.715824     0.637860     0.611824       0.690798   0.721775     0.481466     0.721774     0.768904     0.432105        0.768904        0.680089     0.543559      0.680089    
189     0.713493     0.638437     0.611555       0.691320   0.722669     0.480719     0.722669     0.768446     0.432479        0.768446        0.682040     0.541070      0.682040    
190     0.712651     0.639399     0.611479       0.691506   0.723978     0.480089     0.723978     0.768053     0.433258        0.768053        0.684687     0.538270      0.684687    
191     0.713917     0.638726     0.611249       0.690919   0.723197     0.480055     0.723197     0.768050     0.432601        0.768050        0.683294     0.539203      0.683294    
