RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
138     0.750203     0.642094     0.599599       0.677747   0.732926     0.457635     0.732926     0.756224     0.430689        0.756224        0.711021     0.488177      0.711021    
139     0.749225     0.643345     0.599044       0.678487   0.734755     0.455800     0.734755     0.755408     0.431591        0.755408        0.715201     0.482887      0.715201    
140     0.750404     0.640458     0.596954       0.677881   0.732033     0.453801     0.732033     0.754324     0.428020        0.754324        0.711021     0.482887      0.711021    
141     0.751911     0.641613     0.598649       0.677334   0.732740     0.456192     0.732740     0.755513     0.429829        0.755513        0.711300     0.485999      0.711300    
142     0.752897     0.640554     0.597625       0.676468   0.731854     0.454983     0.731854     0.754887     0.428414        0.754887        0.710185     0.485065      0.710185    
143     0.752184     0.643923     0.601095       0.678020   0.734577     0.459222     0.734577     0.757060     0.433021        0.757060        0.713390     0.488799      0.713390    
144     0.751124     0.643923     0.600837       0.678962   0.734691     0.458748     0.734691     0.756833     0.432910        0.756833        0.713808     0.487866      0.713808    
145     0.751289     0.642768     0.599485       0.678514   0.733830     0.456992     0.733830     0.755946     0.431253        0.755946        0.712972     0.485999      0.712972    
146     0.751622     0.640843     0.599638       0.678911   0.731317     0.458503     0.731317     0.756592     0.429581        0.756592        0.707677     0.491599      0.707677    
147     0.753558     0.639592     0.598819       0.677584   0.730090     0.457796     0.730090     0.756196     0.428107        0.756196        0.705727     0.491910      0.705727    
148     0.754129     0.643441     0.601949       0.677637   0.733587     0.461091     0.733587     0.757949     0.432942        0.757949        0.710743     0.493155      0.710743    
149     0.751852     0.641517     0.600727       0.678348   0.731686     0.460067     0.731686     0.757381     0.430665        0.757381        0.707677     0.493777      0.707677    
150     0.752694     0.642094     0.601575       0.678449   0.732041     0.461249     0.732041     0.757983     0.431553        0.757983        0.707817     0.495333      0.707817    
151     0.752588     0.640554     0.599257       0.678780   0.731121     0.457989     0.731121     0.756330     0.429154        0.756330        0.707538     0.490977      0.707538    
152     0.752284     0.641517     0.601672       0.678987   0.731260     0.461783     0.731260     0.758229     0.431076        0.758229        0.706145     0.497200      0.706145    
153     0.753209     0.642287     0.602487       0.679146   0.731876     0.462784     0.731876     0.758750     0.432119        0.758750        0.706841     0.498133      0.706841    
154     0.752226     0.640939     0.601684       0.679744   0.730516     0.462159     0.730516     0.758398     0.430567        0.758398        0.704612     0.498755      0.704612    
155     0.752026     0.641998     0.602192       0.679322   0.731640     0.462428     0.731640     0.758564     0.431732        0.758564        0.706563     0.497822      0.706563    
156     0.752759     0.640554     0.601577       0.679516   0.730072     0.462203     0.730072     0.758408     0.430180        0.758408        0.703776     0.499378      0.703776    
157     0.749556     0.640747     0.601201       0.680327   0.730489     0.461405     0.730489     0.758016     0.430186        0.758016        0.704891     0.497511      0.704891    
158     0.751283     0.640458     0.603569       0.680318   0.729040     0.465828     0.729040     0.760248     0.430952        0.760248        0.700293     0.506845      0.700293    
159     0.750205     0.640843     0.603074       0.680287   0.729761     0.464716     0.729761     0.759686     0.431080        0.759686        0.702104     0.504045      0.702104    
160     0.749287     0.641324     0.602134       0.680398   0.730805     0.462736     0.730805     0.758698     0.431104        0.758698        0.704891     0.499378      0.704891    
161     0.749240     0.641805     0.603771       0.681604   0.730680     0.465384     0.730680     0.760048     0.432231        0.760048        0.703497     0.504045      0.703497    
162     0.748764     0.641805     0.603256       0.681335   0.730914     0.464460     0.730914     0.759579     0.432013        0.759579        0.704333     0.502178      0.704333    
163     0.747136     0.643153     0.604231       0.681927   0.732197     0.465398     0.732197     0.760084     0.433638        0.760084        0.706284     0.502178      0.706284    
164     0.747297     0.643730     0.604391       0.681357   0.732862     0.465338     0.732862     0.760066     0.434232        0.760066        0.707538     0.501245      0.707538    
165     0.749475     0.640651     0.601732       0.681354   0.730124     0.462424     0.730124     0.758522     0.430332        0.758522        0.703776     0.499689      0.703776    
166     0.748617     0.641132     0.603283       0.682019   0.730037     0.464916     0.730037     0.759795     0.431425        0.759795        0.702522     0.504045      0.702522    
167     0.747050     0.642383     0.604017       0.682660   0.731309     0.465478     0.731309     0.760108     0.432852        0.760108        0.704612     0.503423      0.704612    
168     0.749374     0.642287     0.604549       0.681168   0.730945     0.466485     0.730945     0.760621     0.432987        0.760621        0.703497     0.505600      0.703497    
169     0.748819     0.642479     0.604774       0.682294   0.731089     0.466772     0.731089     0.760771     0.433253        0.760771        0.703637     0.505912      0.703637    
170     0.749993     0.642190     0.603964       0.681832   0.731086     0.465497     0.731086     0.760114     0.432656        0.760114        0.704194     0.503734      0.704194    
171     0.750707     0.642190     0.604479       0.682527   0.730853     0.466418     0.730853     0.760585     0.432872        0.760585        0.703358     0.505600      0.703358    
172     0.747182     0.643923     0.605476       0.683510   0.732620     0.467166     0.732620     0.760997     0.434853        0.760997        0.706284     0.504667      0.706284    
173     0.748241     0.643826     0.605320       0.682907   0.732567     0.466945     0.732567     0.760883     0.434701        0.760883        0.706284     0.504356      0.706284    
174     0.749164     0.641805     0.603084       0.682350   0.730992     0.464152     0.730992     0.759423     0.431940        0.759423        0.704612     0.501556      0.704612    
175     0.748857     0.641517     0.604335       0.682836   0.730053     0.466562     0.730053     0.760646     0.432210        0.760646        0.701825     0.506845      0.701825    
176     0.749238     0.641805     0.604544       0.683724   0.730329     0.466762     0.730329     0.760755     0.432554        0.760755        0.702243     0.506845      0.702243    
177     0.748783     0.642190     0.604909       0.683923   0.730658     0.467183     0.730658     0.760978     0.433050        0.760978        0.702661     0.507156      0.702661    
178     0.748895     0.642575     0.603555       0.683570   0.731764     0.464533     0.731764     0.759634     0.432832        0.759634        0.705866     0.501245      0.705866    
179     0.749279     0.641709     0.603186       0.683198   0.730822     0.464394     0.730822     0.759543     0.431897        0.759543        0.704194     0.502178      0.704194    
180     0.749176     0.641035     0.602612       0.682964   0.730218     0.463772     0.730218     0.759212     0.431053        0.759212        0.703358     0.501867      0.703358    
181     0.748613     0.641228     0.602924       0.682732   0.730324     0.464214     0.730324     0.759440     0.431357        0.759440        0.703358     0.502489      0.703358    
182     0.747689     0.640651     0.602763       0.683373   0.729655     0.464275     0.729655     0.759457     0.430777        0.759457        0.702104     0.503423      0.702104    
183     0.750009     0.642479     0.604688       0.683200   0.731128     0.466619     0.731128     0.760693     0.433218        0.760693        0.703776     0.505600      0.703776    
184     0.749189     0.642383     0.604533       0.684047   0.731075     0.466399     0.731075     0.760578     0.433067        0.760578        0.703776     0.505289      0.703776    
185     0.749704     0.642383     0.604447       0.683316   0.731114     0.466245     0.731114     0.760500     0.433031        0.760500        0.703915     0.504978      0.703915    
186     0.748116     0.642383     0.604275       0.684081   0.731192     0.465938     0.731192     0.760343     0.432959        0.760343        0.704194     0.504356      0.704194    
187     0.747964     0.643441     0.606330       0.685121   0.731619     0.468969     0.731619     0.761919     0.434760        0.761919        0.703637     0.509023      0.703637    
188     0.749142     0.642575     0.604414       0.683988   0.731376     0.466072     0.731376     0.760415     0.433191        0.760415        0.704473     0.504356      0.704473    
189     0.750818     0.641420     0.604180       0.683878   0.730000     0.466342     0.730000     0.760531     0.432059        0.760531        0.701825     0.506534      0.701825    
190     0.748915     0.644115     0.605787       0.685105   0.732726     0.467607     0.732726     0.761225     0.435155        0.761225        0.706284     0.505289      0.706284    
191     0.749990     0.641709     0.604990       0.685027   0.730002     0.467610     0.730002     0.761192     0.432654        0.761192        0.701268     0.508712      0.701268    
192     0.750529     0.642575     0.606390       0.684871   0.730479     0.469580     0.730479     0.762229     0.434002        0.762229        0.701268     0.511512      0.701268    
193     0.751361     0.641998     0.605285       0.684868   0.730239     0.467963     0.730239     0.761379     0.433033        0.761379        0.701547     0.509023      0.701547    
