RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
127     0.779437     0.655567     0.527831       0.567330   0.775794     0.257315     0.775794     0.704758     0.386293        0.704758        0.862756     0.192906      0.862756    
128     0.779594     0.654990     0.527499       0.567394   0.775306     0.257303     0.775306     0.704602     0.384997        0.704602        0.861781     0.193217      0.861781    
129     0.779948     0.654220     0.527199       0.567418   0.774606     0.257798     0.774606     0.704473     0.383528        0.704473        0.860248     0.194151      0.860248    
130     0.779765     0.654509     0.527408       0.567412   0.774837     0.257958     0.774837     0.704574     0.384236        0.704574        0.860666     0.194151      0.860666    
131     0.779788     0.654701     0.527462       0.567460   0.775019     0.257758     0.775019     0.704595     0.384568        0.704595        0.861084     0.193839      0.861084    
132     0.779593     0.655375     0.527778       0.566925   0.775612     0.257516     0.775613     0.704737     0.385954        0.704737        0.862338     0.193217      0.862338    
133     0.779914     0.654220     0.526942       0.566911   0.774691     0.256877     0.774691     0.704333     0.383097        0.704333        0.860666     0.193217      0.860666    
134     0.780081     0.654509     0.527322       0.566628   0.774865     0.257651     0.774865     0.704527     0.384094        0.704527        0.860805     0.193839      0.860805    
135     0.780037     0.654701     0.527290       0.566909   0.775075     0.257143     0.775075     0.704501     0.384282        0.704501        0.861363     0.193217      0.861363    
136     0.780137     0.654701     0.527548       0.566785   0.774991     0.258065     0.774991     0.704641     0.384710        0.704641        0.860945     0.194151      0.860945    
137     0.779925     0.654701     0.527376       0.566672   0.775047     0.257450     0.775047     0.704548     0.384425        0.704548        0.861223     0.193528      0.861223    
138     0.779794     0.654894     0.527515       0.566815   0.775201     0.257557     0.775201     0.704615     0.384901        0.704615        0.861502     0.193528      0.861502    
139     0.780005     0.655086     0.527740       0.566730   0.775326     0.257971     0.775326     0.704729     0.385520        0.704729        0.861641     0.193839      0.861641    
140     0.780116     0.654797     0.527531       0.566904   0.775096     0.257811     0.775096     0.704628     0.384805        0.704628        0.861223     0.193839      0.861223    
141     0.779879     0.654990     0.527499       0.566757   0.775306     0.257303     0.775306     0.704602     0.384997        0.704602        0.861781     0.193217      0.861781    
142     0.780034     0.654990     0.527499       0.567134   0.775306     0.257303     0.775306     0.704602     0.384997        0.704602        0.861781     0.193217      0.861781    
143     0.780006     0.654797     0.527445       0.567295   0.775124     0.257504     0.775124     0.704582     0.384663        0.704582        0.861363     0.193528      0.861363    
144     0.780143     0.654990     0.527585       0.567118   0.775277     0.257610     0.775277     0.704649     0.385139        0.704649        0.861641     0.193528      0.861641    
145     0.780229     0.654605     0.527478       0.566782   0.774914     0.258011     0.774914     0.704608     0.384473        0.704608        0.860805     0.194151      0.860805    
146     0.780093     0.655664     0.527901       0.566470   0.775871     0.257368     0.775871     0.704791     0.386534        0.704791        0.862895     0.192906      0.862895    
147     0.780184     0.655086     0.527483       0.566536   0.775410     0.257048     0.775410     0.704589     0.385093        0.704589        0.862059     0.192906      0.862059    
148     0.780376     0.655086     0.527655       0.566300   0.775354     0.257664     0.775354     0.704683     0.385378        0.704683        0.861781     0.193528      0.861781    
149     0.780240     0.655182     0.527381       0.566261   0.775543     0.256485     0.775543     0.704530     0.385047        0.704530        0.862477     0.192284      0.862477    
150     0.780250     0.655182     0.527552       0.566465   0.775487     0.257101     0.775487     0.704623     0.385333        0.704623        0.862199     0.192906      0.862199    
151     0.780535     0.654990     0.527585       0.566515   0.775277     0.257610     0.775277     0.704649     0.385139        0.704649        0.861641     0.193528      0.861641    
152     0.780191     0.655086     0.527569       0.566634   0.775382     0.257356     0.775382     0.704636     0.385236        0.704636        0.861920     0.193217      0.861920    
153     0.779997     0.655279     0.527193       0.565954   0.775704     0.255611     0.775704     0.704424     0.384856        0.704424        0.863035     0.191350      0.863035    
154     0.780341     0.655182     0.527638       0.566615   0.775459     0.257409     0.775459     0.704670     0.385475        0.704670        0.862059     0.193217      0.862059    
155     0.780162     0.655279     0.527278       0.566200   0.775676     0.255920     0.775676     0.704470     0.385000        0.704470        0.862895     0.191661      0.862895    
156     0.780221     0.654894     0.527172       0.566316   0.775313     0.256325     0.775313     0.704429     0.384328        0.704429        0.862059     0.192284      0.862059    
157     0.780148     0.655182     0.527295       0.566467   0.775572     0.256176     0.775572     0.704483     0.384903        0.704483        0.862617     0.191973      0.862617    
158     0.780542     0.654797     0.527274       0.566332   0.775180     0.256888     0.775180     0.704489     0.384377        0.704488        0.861641     0.192906      0.861641    
159     0.780532     0.654894     0.527515       0.566180   0.775201     0.257557     0.775201     0.704615     0.384901        0.704615        0.861502     0.193528      0.861502    
160     0.780201     0.656241     0.527975       0.566227   0.776443     0.256453     0.776443     0.704806     0.387421        0.704806        0.864289     0.191661      0.864289    
161     0.780477     0.654894     0.527343       0.565960   0.775257     0.256942     0.775257     0.704522     0.384615        0.704522        0.861781     0.192906      0.861781    
162     0.780144     0.656145     0.527820       0.565890   0.776394     0.256090     0.776394     0.704726     0.387036        0.704726        0.864289     0.191350      0.864289    
163     0.780378     0.656241     0.527546       0.565667   0.776582     0.254902     0.776582     0.704574     0.386709        0.704574        0.864985     0.190106      0.864985    
164     0.780372     0.655952     0.527422       0.565319   0.776325     0.255053     0.776325     0.704520     0.386120        0.704520        0.864428     0.190417      0.864428    
165     0.780567     0.655567     0.527659       0.565372   0.775850     0.256698     0.775850     0.704664     0.386009        0.704664        0.863035     0.192284      0.863035    
166     0.780200     0.658358     0.528992       0.565616   0.778291     0.255765     0.778291     0.705263     0.392031        0.705263        0.868190     0.189795      0.868190    
167     0.780395     0.657107     0.528087       0.565323   0.777299     0.255070     0.777299     0.704829     0.388783        0.704829        0.866379     0.189795      0.866379    
168     0.780384     0.656722     0.527980       0.565512   0.776937     0.255479     0.776937     0.704788     0.388079        0.704788        0.865543     0.190417      0.865543    
