RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
147     0.695544     0.605909     0.548836       0.565582   0.710006     0.385227     0.710006     0.721918     0.372208        0.721918        0.698481     0.399191      0.698481    
148     0.694541     0.608026     0.548737       0.565145   0.712785     0.382972     0.712785     0.721588     0.373192        0.721588        0.704194     0.393279      0.704194    
149     0.694859     0.607834     0.549027       0.565524   0.712400     0.383790     0.712400     0.721825     0.373345        0.721825        0.703219     0.394835      0.703219    
150     0.694998     0.607545     0.548990       0.565283   0.712046     0.383988     0.712046     0.721833     0.373165        0.721832        0.702522     0.395457      0.702522    
151     0.694730     0.607352     0.548593       0.565399   0.711986     0.383313     0.711986     0.721562     0.372722        0.721562        0.702661     0.394524      0.702661    
152     0.694715     0.608507     0.549343       0.565255   0.713117     0.383823     0.713117     0.721976     0.373967        0.721976        0.704473     0.394213      0.704473    
153     0.695125     0.607064     0.548985       0.565401   0.711428     0.384441     0.711428     0.721888     0.372916        0.721888        0.701268     0.396702      0.701268    
154     0.694749     0.608122     0.549150       0.565306   0.712713     0.383777     0.712713     0.721881     0.373600        0.721881        0.703776     0.394524      0.703776    
155     0.695124     0.607256     0.549124       0.565234   0.711610     0.384557     0.711610     0.721967     0.373134        0.721967        0.701547     0.396702      0.701547    
156     0.695040     0.608026     0.549338       0.565196   0.712501     0.384278     0.712501     0.722031     0.373714        0.722031        0.703219     0.395457      0.703219    
157     0.694801     0.607834     0.549113       0.565277   0.712360     0.383976     0.712360     0.721888     0.373420        0.721888        0.703079     0.395146      0.703079    
158     0.694852     0.607256     0.548867       0.565413   0.711733     0.384000     0.711733     0.721776     0.372911        0.721777        0.701965     0.395769      0.701965    
159     0.694884     0.606583     0.548293       0.565281   0.711136     0.383409     0.711136     0.721434     0.372073        0.721434        0.701129     0.395457      0.701129    
160     0.695308     0.606968     0.549431       0.565271   0.711092     0.385495     0.711092     0.722230     0.373252        0.722230        0.700293     0.398569      0.700293    
161     0.695245     0.606583     0.548808       0.565404   0.710891     0.384523     0.710891     0.721815     0.372520        0.721815        0.700293     0.397324      0.700293    
162     0.694852     0.607256     0.548437       0.565024   0.711936     0.383069     0.711936     0.721459     0.372537        0.721459        0.702661     0.394213      0.702661    
163     0.695381     0.606294     0.548599       0.565208   0.710618     0.384349     0.710618     0.721695     0.372195        0.721695        0.699875     0.397324      0.699875    
164     0.695063     0.607352     0.548936       0.565094   0.711824     0.384058     0.711824     0.721816     0.373021        0.721816        0.702104     0.395769      0.702104    
165     0.695684     0.605716     0.549212       0.565461   0.709577     0.386217     0.709577     0.722222     0.372436        0.722222        0.697367     0.401058      0.697367    
166     0.695107     0.606871     0.548588       0.565133   0.711369     0.383768     0.711369     0.721617     0.372474        0.721617        0.701407     0.395769      0.701407    
167     0.694451     0.608411     0.548929       0.565278   0.713188     0.383017     0.713188     0.721683     0.373558        0.721683        0.704891     0.392968      0.704891    
168     0.694913     0.607545     0.548904       0.565135   0.712087     0.383802     0.712087     0.721769     0.373090        0.721769        0.702661     0.395146      0.702661    
169     0.694661     0.608315     0.549032       0.565179   0.713016     0.383333     0.713016     0.721770     0.373597        0.721770        0.704473     0.393591      0.704473    
170     0.695461     0.606679     0.549136       0.565320   0.710860     0.385136     0.710860     0.722047     0.372852        0.722047        0.700014     0.398258      0.700014    
171     0.695161     0.606968     0.549001       0.565140   0.711296     0.384569     0.711296     0.721911     0.372881        0.721911        0.700989     0.397013      0.700989    
172     0.694860     0.607352     0.548679       0.565163   0.711946     0.383500     0.711946     0.721626     0.372797        0.721626        0.702522     0.394835      0.702522    
173     0.694962     0.607064     0.548470       0.565292   0.711673     0.383326     0.711673     0.721506     0.372468        0.721506        0.702104     0.394835      0.702104    
174     0.694781     0.608219     0.549048       0.565091   0.712885     0.383462     0.712885     0.721794     0.373562        0.721794        0.704194     0.393902      0.704194    
175     0.694988     0.606775     0.548604       0.565138   0.711237     0.383896     0.711237     0.721641     0.372440        0.721641        0.701129     0.396080      0.701129    
176     0.695212     0.606390     0.548411       0.564985   0.710831     0.383851     0.710831     0.721544     0.372079        0.721544        0.700432     0.396391      0.700432    
177     0.695352     0.606198     0.548616       0.565358   0.710485     0.384477     0.710485     0.721719     0.372161        0.721719        0.699596     0.397635      0.699596    
178     0.695256     0.606390     0.548497       0.565217   0.710791     0.384036     0.710791     0.721608     0.372154        0.721608        0.700293     0.396702      0.700293    
179     0.695411     0.605909     0.548664       0.565093   0.710088     0.384858     0.710088     0.721790     0.372059        0.721790        0.698760     0.398569      0.698760    
180     0.694819     0.607256     0.548523       0.565191   0.711896     0.383255     0.711896     0.721523     0.372612        0.721523        0.702522     0.394524      0.702522    
181     0.694256     0.608796     0.548693       0.564885   0.713793     0.382125     0.713793     0.721463     0.373551        0.721463        0.706284     0.391101      0.706284    
182     0.695123     0.606775     0.548261       0.565023   0.711400     0.383152     0.711400     0.721387     0.372141        0.721387        0.701686     0.394835      0.701686    
183     0.695108     0.607160     0.548797       0.564988   0.711642     0.383942     0.711642     0.721737     0.372802        0.721737        0.701825     0.395769      0.701825    
184     0.695252     0.606679     0.548534       0.564752   0.711146     0.383838     0.711146     0.721601     0.372331        0.721601        0.700989     0.396080      0.700989    
185     0.695202     0.606775     0.548776       0.564935   0.711155     0.384268     0.711155     0.721768     0.372589        0.721768        0.700850     0.396702      0.700850    
186     0.695385     0.606198     0.548702       0.565080   0.710444     0.384662     0.710444     0.721783     0.372235        0.721783        0.699457     0.397946      0.699457    
187     0.695408     0.605909     0.548493       0.565146   0.710171     0.384488     0.710171     0.721663     0.371910        0.721663        0.699039     0.397946      0.699039    
188     0.695177     0.606968     0.548743       0.564894   0.711419     0.384012     0.711419     0.721720     0.372658        0.721720        0.701407     0.396080      0.701407    
189     0.694723     0.608026     0.548908       0.564710   0.712704     0.383346     0.712704     0.721714     0.373341        0.721714        0.703915     0.393902      0.703915    
190     0.694768     0.607930     0.548581       0.564760   0.712734     0.382727     0.712734     0.721485     0.373006        0.721485        0.704194     0.392968      0.704194    
191     0.694912     0.607834     0.548769       0.564964   0.712522     0.383230     0.712522     0.721635     0.373121        0.721635        0.703637     0.393902      0.703637    
192     0.694986     0.607352     0.548593       0.564860   0.711986     0.383313     0.711986     0.721562     0.372722        0.721562        0.702661     0.394524      0.702661    
193     0.695018     0.606871     0.547987       0.564713   0.711654     0.382464     0.711654     0.721173     0.371949        0.721173        0.702383     0.393591      0.702383    
